Date;Le 27/2/2015 a 15:40:59;

Configuration;

Nom du fichier de configuration;maConfig;
Taille de la cible (cm);1;
Hauteur de la cible (cm);3;
Distance separant la cible du lance-pierre (cm);10;
Gravite;9.81;
Rigidite du lance-pierre;1;
Nombre de lancers;10;
Taille des projectiles (cm);1;
Afficher le score;Oui;
Nombre de points gagnes par cible (points);1;
Delai avant de pouvoir lancer le projectile (secondes);1;
Delai avant de pouvoir evaluer la taille de la cible (secondes);1;

Recapitulatif;

Score final (points);0;
Nombre de cibles touchees;4;
Nombre de cibles manquees;6;

Details des lancers;

Tir numero 1;Touche !;
Tir numero 2;Manque !;
Tir numero 3;Manque !;
Tir numero 4;Touche !;
Tir numero 5;Touche !;
Tir numero 6;Manque !;
Tir numero 7;Manque !;
Tir numero 8;Touche !;
Tir numero 9;Manque !;
Tir numero 10;Manque !;
